index,sepalLength,sepalWidth,petalLength,petalWidth,label
73,6.1,2.8,4.7,1.2,1
107,7.3,2.9,6.3,1.8,2
6,4.6,3.4,1.4,0.3,0
36,5.5,3.5,1.3,0.2,0
110,6.5,3.2,5.1,2.0,2
40,5.0,3.5,1.3,0.3,0
99,5.7,2.8,4.1,1.3,1
145,6.7,3.0,5.2,2.3,2
74,6.4,2.9,4.3,1.3,1
96,5.7,2.9,4.2,1.3,1
67,5.8,2.7,4.1,1.0,1
148,6.2,3.4,5.4,2.3,2
39,5.1,3.4,1.5,0.2,0
2,4.7,3.2,1.3,0.2,0
147,6.5,3.0,5.2,2.0,2
135,7.7,3.0,6.1,2.3,2
37,4.9,3.1,1.5,0.1,0
132,6.4,2.8,5.6,2.2,2
66,5.6,3.0,4.5,1.5,1
32,5.2,4.1,1.5,0.1,0
91,6.1,3.0,4.6,1.4,1
82,5.8,2.7,3.9,1.2,1
30,4.8,3.1,1.6,0.2,0
94,5.6,2.7,4.2,1.3,1
31,5.4,3.4,1.5,0.4,0
