index,sepal_length,sepal_width,petal_length,petal_width,label
65,6.7,3.1,4.4,1.4,1
98,5.1,2.5,3.0,1.1,1
72,6.3,2.5,4.9,1.5,1
24,4.8,3.4,1.9,0.2,0
13,4.3,3.0,1.1,0.1,0
21,5.1,3.7,1.5,0.4,0
46,5.1,3.8,1.6,0.2,0
121,5.6,2.8,4.9,2.0,2
80,5.5,2.4,3.8,1.1,1
0,5.1,3.5,1.4,0.2,0
45,4.8,3.0,1.4,0.3,0
102,7.1,3.0,5.9,2.1,2
56,6.3,3.3,4.7,1.6,1
122,7.7,2.8,6.7,2.0,2
86,6.7,3.1,4.7,1.5,1
81,5.5,2.4,3.7,1.0,1
93,5.0,2.3,3.3,1.0,1
11,4.8,3.4,1.6,0.2,0
27,5.2,3.5,1.5,0.2,0
77,6.7,3.0,5.0,1.7,1
149,5.9,3.0,5.1,1.8,2
16,5.4,3.9,1.3,0.4,0
22,4.6,3.6,1.0,0.2,0
52,6.9,3.1,4.9,1.5,1
20,5.4,3.4,1.7,0.2,0
